timestamp,direction,price,fastEma,slowEma,atr,rsi,gapAbs,gapNorm,tradeOutcome,pnl,exitPrice,holdingPeriod
2024-10-04T06:30:00.000Z,LONG,25468.85,25347.65,25335.01,41.26,60.16,12.64,0.3063,BREAKEVEN,0,25468.85,0
2024-10-04T07:15:00.000Z,SHORT,25117.25,25293.14,25313.89,65.69,35.06,20.75,0.3158,SMALL_PROFIT,227.55,24889.7,281
2024-10-08T05:30:00.000Z,LONG,24937.9,24874.83,24870.56,75.79,58.26,4.27,0.0564,SMALL_PROFIT,148.65,25086.55,90
2024-10-09T09:00:00.000Z,SHORT,25034.3,25086.96,25090.8,52.83,42,3.84,0.0727,SMALL_PROFIT,63.15,24971.15,2
2024-10-14T03:45:00.000Z,LONG,25040.95,24978.26,24973.55,31.2,72.65,4.71,0.1508,SMALL_PROFIT,113.65,25154.6,11
2024-10-15T04:45:00.000Z,SHORT,25033.2,25098.82,25102.86,27.89,48.76,4.04,0.145,SMALL_PROFIT,7.85,25025.35,11
2024-10-18T06:30:00.000Z,LONG,24785.5,24746.82,24746.47,29.05,61.33,0.35,0.0121,SMALL_PROFIT,107.25,24892.75,277
2024-10-21T05:30:00.000Z,SHORT,24808.6,24816.3,24816.67,38.73,47.48,0.38,0.0097,SMALL_PROFIT,87.65,24720.95,4
2024-10-21T08:30:00.000Z,LONG,24819.7,24789.59,24789.39,61.79,56.24,0.2,0.0033,SMALL_PROFIT,39.05,24858.75,79
2024-10-21T09:45:00.000Z,SHORT,24739.45,24789.76,24791.87,49.71,52.94,2.12,0.0426,SMALL_PROFIT,153.4,24586.05,88
2024-10-22T03:45:00.000Z,LONG,24817.35,24795.27,24794.19,49.26,56.77,1.08,0.022,SMALL_PROFIT,41.4,24858.75,2
2024-10-22T04:45:00.000Z,SHORT,24638.55,24771.8,24785.79,46.61,39.03,13.99,0.3001,SMALL_PROFIT,189.2,24449.35,19
2024-10-28T04:15:00.000Z,LONG,24287.95,24184.16,24182.97,45.01,61.62,1.2,0.0266,SMALL_PROFIT,192.55,24480.5,9
2024-10-29T03:45:00.000Z,SHORT,24262.5,24361.37,24363.56,52.29,33.9,2.19,0.042,SMALL_PROFIT,91.85,24170.65,5
2024-10-29T07:45:00.000Z,LONG,24308.65,24287.73,24285.89,61.24,51.7,1.84,0.0301,SMALL_PROFIT,165.6,24474.25,7
2024-10-30T08:15:00.000Z,SHORT,24365.4,24406.59,24406.97,49.37,35.97,0.38,0.0078,SMALL_PROFIT,163,24202.4,91
2024-11-01T12:45:00.000Z,LONG,24326.8,24258.35,24252.36,27.43,57.2,5.99,0.2183,BREAKEVEN,0,24326.8,0
2024-11-04T03:45:00.000Z,SHORT,24076.65,24234.78,24244.35,24.09,30.82,9.57,0.3973,SMALL_PROFIT,229.4,23847.25,7
2024-11-05T04:45:00.000Z,LONG,24022.9,23978.76,23973.51,53.24,47.94,5.25,0.0987,SMALL_PROFIT,184.8,24207.7,19
2024-11-05T05:45:00.000Z,SHORT,23931.5,23969.29,23970.75,46.81,36.61,1.46,0.0312,SMALL_PROFIT,68.45,23863.05,2
2024-11-05T08:00:00.000Z,LONG,24073.35,23967,23955.42,60.04,68.26,11.58,0.1928,SMALL_PROFIT,362.55,24435.9,89
2024-11-07T04:30:00.000Z,SHORT,24221.75,24365.09,24378.56,41.62,32.58,13.47,0.3237,SMALL_PROFIT,42.3,24179.45,14
2024-11-11T05:00:00.000Z,LONG,24239.45,24172.34,24163.59,32.27,64.68,8.75,0.2712,SMALL_PROFIT,92.25,24331.7,4
2024-11-11T08:15:00.000Z,SHORT,24155.1,24204.16,24209.06,54.51,36.2,4.9,0.0899,SMALL_PROFIT,105.05,24050.05,91
2024-11-19T03:45:00.000Z,LONG,23663.85,23501.57,23485.98,55.1,70.99,15.59,0.283,SMALL_PROFIT,108.15,23772,9
2024-11-19T09:30:00.000Z,SHORT,23492.55,23655.37,23670.79,43.27,28.28,15.42,0.3565,SMALL_PROFIT,183.8,23308.75,172
